group,source_region,target_region,task_key,hour,n_days,n_days_with_positive_daily_flow,mean_hourly_flow,median_hourly_flow,std_hourly_flow,zero_rate,mean_daily_profile_share,median_daily_profile_share,mean_pair_rate_among_linkable,median_pair_rate_among_linkable
normal_post_recovery,outer,core,outer->core,14,6,2,0.3333333333333333,0.0,0.5163977794943223,0.6666666666666666,0.07638888888888888,0.0,0.05714285714285714,0.0
normal_post_recovery,outer,core,outer->core,15,6,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
normal_post_recovery,outer,core,outer->core,16,6,2,0.5,0.0,0.8366600265340756,0.6666666666666666,0.10000000000000002,0.0,0.07638888888888888,0.0
normal_post_recovery,outer,core,outer->core,17,6,1,0.16666666666666666,0.0,0.408248290463863,0.8333333333333334,0.020833333333333332,0.0,0.023809523809523808,0.0
normal_post_recovery,outer,core,outer->core,18,6,2,0.5,0.0,0.8366600265340756,0.6666666666666666,0.12222222222222223,0.0,0.08888888888888889,0.0
normal_post_recovery,outer,core,outer->core,19,6,2,0.3333333333333333,0.0,0.5163977794943223,0.6666666666666666,0.08888888888888889,0.0,0.075,0.0
normal_post_recovery,outer,core,outer->core,20,6,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
normal_post_recovery,outer,core,outer->core,21,6,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
normal_post_recovery,outer,core,outer->core,22,6,2,0.3333333333333333,0.0,0.5163977794943223,0.6666666666666666,0.06666666666666667,0.0,0.075,0.0
normal_post_recovery,outer,core,outer->core,23,6,1,0.16666666666666666,0.0,0.408248290463863,0.8333333333333334,0.020833333333333332,0.0,0.041666666666666664,0.0
normal_post_recovery,outer,near,outer->near,0,6,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
normal_post_recovery,outer,near,outer->near,1,6,1,0.6666666666666666,0.0,1.632993161855452,0.8333333333333334,0.037037037037037035,0.0,0.07407407407407407,0.0
normal_post_recovery,outer,near,outer->near,2,6,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
normal_post_recovery,outer,near,outer->near,3,6,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
normal_post_recovery,outer,near,outer->near,4,6,1,0.16666666666666666,0.0,0.408248290463863,0.8333333333333334,0.009259259259259259,0.0,0.027777777777777776,0.0
normal_post_recovery,outer,near,outer->near,5,6,3,0.8333333333333334,0.5,0.983192080250175,0.5,0.0701058201058201,0.05555555555555555,0.16666666666666666,0.16666666666666666
normal_post_recovery,outer,near,outer->near,6,6,1,0.16666666666666666,0.0,0.408248290463863,0.8333333333333334,0.009259259259259259,0.0,0.041666666666666664,0.0
normal_post_recovery,outer,near,outer->near,7,6,3,1.1666666666666667,0.5,1.4719601443879746,0.5,0.13888888888888887,0.08333333333333333,0.17361111111111113,0.08333333333333333
normal_post_recovery,outer,near,outer->near,8,6,3,0.6666666666666666,0.5,0.816496580927726,0.5,0.060185185185185175,0.041666666666666664,0.13055555555555554,0.1
normal_post_recovery,outer,near,outer->near,9,6,2,0.6666666666666666,0.0,1.2110601416389968,0.6666666666666666,0.1111111111111111,0.0,0.1130952380952381,0.0
normal_post_recovery,outer,near,outer->near,10,6,2,0.3333333333333333,0.0,0.5163977794943223,0.6666666666666666,0.05158730158730159,0.0,0.061111111111111116,0.0
normal_post_recovery,outer,near,outer->near,11,6,2,0.3333333333333333,0.0,0.5163977794943223,0.6666666666666666,0.05555555555555555,0.0,0.05158730158730159,0.0
normal_post_recovery,outer,near,outer->near,12,6,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
normal_post_recovery,outer,near,outer->near,13,6,1,0.16666666666666666,0.0,0.408248290463863,0.8333333333333334,0.027777777777777776,0.0,0.020833333333333332,0.0
normal_post_recovery,outer,near,outer->near,14,6,2,0.5,0.0,0.8366600265340756,0.6666666666666666,0.0462962962962963,0.0,0.07142857142857142,0.0
normal_post_recovery,outer,near,outer->near,15,6,2,0.6666666666666666,0.0,1.2110601416389968,0.6666666666666666,0.06547619047619048,0.0,0.08333333333333333,0.0
normal_post_recovery,outer,near,outer->near,16,6,2,0.3333333333333333,0.0,0.5163977794943223,0.6666666666666666,0.09722222222222222,0.0,0.048611111111111105,0.0
normal_post_recovery,outer,near,outer->near,17,6,3,0.5,0.5,0.5477225575051661,0.5,0.06547619047619047,0.041666666666666664,0.08928571428571429,0.07142857142857142
normal_post_recovery,outer,near,outer->near,18,6,2,0.8333333333333334,0.0,1.3291601358251257,0.6666666666666666,0.08928571428571429,0.0,0.13095238095238096,0.0
normal_post_recovery,outer,near,outer->near,19,6,1,0.16666666666666666,0.0,0.408248290463863,0.8333333333333334,0.023809523809523808,0.0,0.03333333333333333,0.0
normal_post_recovery,outer,near,outer->near,20,6,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
normal_post_recovery,outer,near,outer->near,21,6,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
